10000 119913
9614 4108 8
2876 625 5
1279 4934 1
6360 2096 1
4335 9695 4
2815 9932 7
7204 6632 5
9008 9934 7
4564 8694 3
3743 9561 4
8523 1415 6
2492 5710 8
5273 2750 4
7347 6700 10
5397 1822 4
1843 810 9
8046 3910 2
2345 7334 9
9972 2257 1
2219 708 1
9747 1710 9
1779 7760 5
1047 5355 2
5171 9688 6
3827 3011 6
9654 6472 2
23 121 10
5985 6804 1
9263 1194 7
4193 9376 1
7474 8166 5
1758 2820 2
8059 5211 4
9243 3828 6
8215 7528 9
8047 2450 4
8446 7425 3
6640 2604 3
5459 3611 4
2966 3038 9
2997 543 1
8285 4082 10
684 6733 1
2264 7673 10
4536 4917 9
3514 645 9
6411 8762 2
2128 55 5
6097 8819 3
3288 1583 9
5486 4760 8
6901 9701 8
8425 3869 1
8476 1155 7
925 2742 9
327 8040 8
229 2241 7
6523 6506 1
5644 402 10
9680 6313 7
2336 2277 7
9319 3039 5
5682 4520 10
6265 3037 5
6058 9157 10
1017 8728 5
969 6370 4
2475 3496 6
3521 8747 2
8623 1863 9
5287 2204 3
231 2564 6
8126 3168 7
6872 34 5
9291 1095 8
9016 2526 4
9506 3875 4
2973 383 6
9499 7953 10
7703 7393 3
6050 167 3
7219 4484 5
9245 771 7
3312 4742 8
9536 7410 1
5647 4461 3
2196 3772 4
7668 2108 10
8795 5011 9
7193 1582 3
1388 1036 7
2782 6819 2
4617 7828 9
2949 3930 1
4025 9075 3
2714 5071 3
675 1217 10
846 6532 1
1948 8283 6
7635 9274 3
2689 455 3
9556 8406 5
3399 7444 3
12 5482 4
6135 1985 10
8311 5440 8
9362 6767 5
9426 4388 9
1951 767 6
6885 9107 9
7966 4078 2
9600 4928 9
3320 4697 6
913 9917 7
6218 2569 2
323 143 3
4671 5171 8
8324 1782 4
2099 9044 8
7392 937 4
7053 129 3
8217 2172 9
9520 8896 9
6466 1868 4
3792 1421 6
8563 7803 9
9326 2927 5
3977 6721 2
3981 5766 6
2402 2721 1
6984 1004 7
8815 4368 4
470 5900 6
3175 2512 6
4171 9962 1
5197 7382 9
2055 2586 5
5204 1524 8
2105 2461 4
4702 3461 9
7175 6067 2
5512 663 5
2155 9110 9
835 8924 9
2172 5488 6
4937 9427 2
2028 8883 7
7943 3527 3
9583 8249 8
6179 5111 5
3218 9223 2
3379 7738 4
4770 9971 2
5473 5788 6
6351 7301 9
277 1082 8
8942 2121 5
8746 3834 8
7145 7235 6
445 2716 4
4129 2894 5
3149 3205 8
8726 7021 1
6905 9441 8
3847 9458 4
624 6814 4
4555 3223 4
3425 1857 7
1464 739 8
8406 1015 8
2774 568 2
1653 487 5
801 198 8
2063 4022 9
5610 6164 3
8102 2572 7
7415 5798 8
885 4364 1
1883 425 3
5171 296 1
6952 1533 6
756 3255 4
5802 572 2
8726 8182 3
7795 5393 9
330 375 10
4386 6020 1
8286 3558 3
6075 2785 10
1792 782 6
7314 3224 10
654 4712 2
9815 1792 8
1576 6475 1
477 6965 7
5622 166 7
6734 8225 6
2151 1831 1
9168 6291 10
8785 6659 10
4944 6852 2
2565 8144 9
51 1001 9
5455 2291 10
9223 2912 8
4387 501 6
8916 2878 10
7316 5994 8
8862 6290 3
4140 2051 7
4415 8818 8
448 7464 2
1922 5397 2
9312 2911 8
9906 2188 4
1281 2100 8
5288 9123 5
7949 6452 4
5711 6805 1
8470 8312 1
895 7291 2
5103 9759 6
2866 6021 4
662 6829 4
5815 1828 2
1657 8680 6
5125 1757 4
4289 8295 8
7201 1393 7
5412 435 8
9665 8293 7
1812 932 4
7464 437 10
3353 3111 1
2200 7351 3
5811 704 1
7455 2217 9
9434 6542 5
3088 5260 3
6371 4540 1
716 2268 8
2806 5773 5
2305 3206 1
3974 1520 6
8261 6779 3
2669 5893 3
6018 5998 8
7035 3485 3
4185 2993 6
1744 9435 3
7536 5087 2
3333 1063 8
3266 7777 4
3485 2533 6
1104 2515 8
1898 4578 3
4681 8706 5
6698 5782 4
679 5996 6
5056 1660 1
5785 3642 4
1008 3386 10
6439 6726 9
5027 6283 8
9000 6718 2
1930 3156 3
8139 9659 9
6330 6408 5
210 9914 8
9870 936 8
8950 4919 2
9611 9419 4
9416 908 6
7083 324 8
6120 3646 8
4316 7800 10
4968 870 1
132 9140 7
1666 9531 7
6733 8793 5
270 4547 2
8925 4549 4
2188 1051 4
6514 6381 7
2747 170 4
9156 3225 2
8068 3497 10
1621 3169 3
2276 9378 2
5489 6940 3
8570 731 9
7371 333 8
1646 677 3
5873 3797 5
8616 3613 6
4630 1250 6
7303 24 4
1552 5952 9
3606 2717 2
5147 625 2
4664 521 8
229 5899 4
7758 3527 2
5061 4303 2
7481 2330 3
7123 7535 5
9853 7714 7
2875 4951 8
5205 3886 5
