40 348
2 26 1
21 13 5
12 28 10
20 35 6
18 10 3
31 1 7
36 17 10
27 30 4
9 36 2
21 14 5
21 9 8
28 3 3
36 9 6
12 5 10
9 11 1
18 5 4
8 4 9
29 3 6
9 24 8
16 20 2
5 33 9
24 17 5
16 22 9
34 37 7
15 36 6
19 1 9
22 11 8
26 23 2
34 17 7
2 18 6
39 26 9
35 28 6
0 12 8
32 35 10
26 5 4
4 21 7
23 26 2
13 28 7
28 26 4
39 1 2
15 16 6
2 7 2
15 9 6
25 2 5
3 38 5
32 15 5
7 14 6
9 22 3
22 21 6
18 8 9
6 9 8
16 29 10
19 15 2
3 33 3
15 0 8
30 29 2
27 16 7
35 29 6
39 21 6
20 21 6
14 28 9
20 25 4
34 26 2
38 16 4
5 30 10
11 39 10
13 30 10
27 5 7
27 8 6
33 36 6
30 24 4
14 24 6
22 12 1
16 11 4
19 32 5
35 14 10
18 35 2
14 27 2
26 28 9
29 7 7
38 5 4
31 12 7
37 19 8
14 38 9
21 10 2
14 13 9
13 29 9
36 15 3
5 28 6
31 13 9
39 10 7
34 21 5
14 31 4
11 2 9
13 18 9
22 6 4
7 4 10
21 22 9
37 13 4
17 21 1
3 25 7
4 4 1
19 11 2
36 30 7
35 19 5
26 22 4
20 18 4
22 8 2
17 18 3
37 36 5
7 20 10
1 7 6
0 29 6
32 4 1
0 19 3
22 2 3
13 36 7
1 36 7
19 19 5
21 16 4
10 30 7
19 21 4
15 17 6
2 4 5
4 5 4
33 1 6
9 20 9
29 14 10
38 29 8
23 11 7
37 34 6
9 26 9
8 7 5
39 36 9
30 27 10
5 5 1
5 8 8
31 18 1
33 9 8
16 16 4
8 33 8
5 36 10
37 11 7
16 7 6
23 0 5
36 18 3
23 39 6
30 5 8
29 17 3
32 38 1
8 32 3
14 16 9
14 25 8
24 28 2
29 29 7
33 14 7
3 6 10
12 33 6
13 24 5
20 14 5
29 23 7
18 17 8
22 4 2
22 15 10
19 4 8
29 20 10
5 2 2
24 8 8
18 1 6
11 18 1
2 19 7
13 8 3
29 21 9
33 28 8
30 16 6
17 6 9
1 5 5
36 12 3
19 16 3
12 0 5
36 35 3
2 24 6
6 3 1
29 38 2
32 8 3
1 10 6
18 39 1
14 7 10
20 26 1
23 2 4
14 10 8
7 26 1
10 39 1
2 14 3
38 24 10
28 5 10
21 4 5
8 22 7
35 23 2
36 10 5
3 10 4
3 4 4
5 27 8
34 35 10
5 0 10
29 12 3
38 0 8
38 17 1
20 9 1
31 19 8
1 3 2
0 4 1
13 23 7
19 3 8
36 11 6
22 37 8
26 3 6
2 35 6
17 8 4
19 13 7
23 38 1
8 35 10
32 1 3
24 38 5
25 1 10
15 10 6
14 12 5
38 20 7
24 24 4
28 8 5
26 13 2
9 17 2
35 31 4
24 1 7
30 37 2
6 27 1
14 5 3
33 38 8
38 9 5
9 18 2
3 32 5
12 35 2
2 8 3
14 20 7
28 19 5
8 16 6
18 30 4
32 6 7
20 34 7
37 1 5
30 26 7
30 25 8
15 25 9
7 6 1
3 17 9
33 16 2
21 24 9
33 7 2
20 32 6
31 37 10
21 3 3
5 35 8
19 30 5
26 26 7
17 3 10
34 16 5
17 2 1
10 13 3
2 17 3
32 10 9
32 27 3
22 26 9
35 33 7
29 31 4
8 26 2
28 31 2
5 24 4
20 5 2
29 1 2
7 15 10
1 28 5
36 31 4
6 23 5
18 0 5
10 1 10
26 24 10
8 9 10
1 25 2
39 25 4
7 17 10
1 19 5
24 39 7
8 10 3
7 13 9
16 31 7
34 4 4
14 17 5
7 21 1
38 26 9
3 29 8
1 30 2
22 19 3
9 8 1
17 7 5
14 22 1
4 9 9
16 27 10
11 8 4
8 5 4
18 23 9
32 0 5
22 33 9
30 34 5
30 15 9
19 10 5
35 26 10
21 32 7
28 6 4
37 16 1
39 6 2
16 3 8
36 32 10
19 39 9
2 21 6
21 19 4
30 12 2
21 7 1
9 16 2
1 34 4
33 21 8
35 15 6
24 0 1
1 0 8
28 14 5
4 39 7
38 25 9
18 16 7
27 24 6
29 34 8
3 36 5
18 9 1
23 14 1
7 18 9
39 22 3
27 25 8
15 19 3
24 16 1
14 39 1
