2000 13973
91 1614 9
955 1192 4
1673 711 2
1543 772 1
1255 1992 6
1081 208 7
711 1637 9
1747 1557 4
520 1647 3
397 1013 8
60 1 4
415 1816 8
864 1659 7
389 285 2
1966 559 9
884 238 3
1323 1273 2
743 161 5
490 410 3
1082 1340 5
1033 1652 1
904 1401 2
510 274 9
1583 1536 10
542 527 3
1712 1561 8
1532 935 4
117 566 7
1768 1623 4
1325 236 2
1965 1063 1
641 1579 9
1856 1543 10
709 1071 8
899 1460 3
1970 1489 9
1796 1836 2
1536 768 6
1507 1642 3
1007 452 8
1412 795 3
1893 1223 6
1986 1952 4
469 364 4
938 991 9
1893 421 2
975 29 10
1871 1395 5
815 504 4
741 1147 1
1200 382 9
1030 1384 4
1739 1680 3
1200 1294 5
273 197 3
1004 180 2
1387 1072 9
1916 506 3
393 1348 9
356 988 7
794 1331 4
795 1107 10
1279 1290 8
420 504 4
1817 1145 5
1414 675 3
380 1261 7
686 803 9
1808 320 9
277 1248 2
1298 9 4
603 1555 3
905 542 7
930 1804 6
333 857 9
1529 907 3
1577 18 5
1616 675 8
1303 1556 6
823 1598 9
1570 1740 5
1430 1120 9
1026 265 10
415 1893 9
1079 953 3
1376 1696 5
513 1902 2
1860 1429 3
1630 1460 6
1400 1082 10
1815 790 7
204 1866 6
1340 1050 10
1649 1294 9
1284 161 8
208 1224 10
157 349 6
1989 813 9
1916 1705 1
1570 690 7
418 284 1
304 329 8
1418 586 10
990 1419 8
1215 1985 1
540 1070 10
36 546 3
1732 1645 4
533 1579 3
574 1056 10
944 1898 2
1892 1144 10
1484 1821 1
993 774 9
310 1012 5
1436 172 5
933 1191 6
738 982 2
1223 1637 5
1503 1434 9
1582 84 6
381 642 3
430 1909 4
1271 1111 9
1126 1651 1
1317 1989 9
1900 1553 10
1412 1835 3
1419 1301 9
1467 1872 3
1909 247 10
1794 1097 1
1064 387 4
516 325 5
415 1027 4
447 204 3
586 947 4
193 1716 8
1388 203 7
292 1651 9
1000 499 6
1504 1688 3
1487 599 9
502 500 4
1983 886 1
1398 133 2
933 1109 5
221 946 5
110 761 4
1707 1826 3
1077 1851 5
1908 1943 1
1906 618 6
566 73 7
1035 1755 5
1137 216 6
1219 1963 8
1722 1260 10
1650 509 6
774 1498 3
287 1571 9
1921 938 10
1633 1689 6
537 495 1
1989 725 10
87 1587 8
1384 1939 2
1360 1190 6
1765 372 10
362 248 8
1915 1020 3
1312 1970 3
1574 406 6
1600 1271 1
270 1269 9
759 1513 2
1016 1239 5
488 166 10
690 246 2
1528 369 8
1532 1265 9
580 1534 8
447 304 10
1159 1558 7
1552 986 9
1479 1514 1
1618 1951 5
1604 975 3
64 942 8
155 1104 2
937 915 5
1020 146 8
778 830 9
629 799 2
1309 352 10
1054 1045 9
192 1577 9
1869 138 2
960 148 1
299 1223 6
372 360 10
728 116 7
136 1192 7
1089 943 6
959 799 3
1159 1326 7
698 1658 7
1208 1812 6
1075 467 5
1781 1133 2
827 1945 1
1245 1676 10
1955 1958 1
1772 463 3
339 1922 5
239 665 3
1567 1034 9
1816 416 3
83 1434 3
1720 368 3
548 996 10
1584 823 5
425 796 1
45 876 4
1139 367 5
337 375 8
913 1156 10
1417 1380 3
1 565 2
1676 1923 7
1695 381 9
1190 1497 9
768 473 5
1938 786 7
282 631 6
1549 739 2
732 936 4
1423 244 10
252 76 10
688 1563 1
441 976 1
868 1620 4
1176 1989 6
965 220 5
1851 464 9
217 1262 7
666 568 9
404 1911 2
1958 1361 8
226 1523 7
1830 596 10
548 132 6
8 693 2
752 1595 10
1642 1679 5
402 160 7
1219 479 7
1483 1146 7
1829 1678 5
275 1267 6
495 82 3
637 455 8
1165 406 1
923 882 9
912 1581 5
1106 1513 8
1995 674 5
894 661 1
757 231 5
942 755 2
666 1269 5
1927 1385 1
1761 23 1
271 465 5
1905 211 6
1318 1113 3
605 566 1
1236 148 5
669 378 7
335 232 6
1870 345 3
749 603 3
434 181 3
192 371 9
995 1528 9
1252 3 8
836 1060 4
1458 757 6
1698 308 7
1436 80 7
1313 1845 6
707 235 1
1667 840 5
1192 492 2
738 1191 9
898 1306 5
365 1870 7
1198 1040 6
1554 1008 3
827 845 10
273 1029 5
813 1762 6
238 1021 6
469 340 10
1748 1104 5
204 1534 10
1358 633 9
138 1370 1
353 1282 8
389 1815 7
611 689 2
759 1941 7
1742 1208 9
1585 912 6
1649 1286 7
1956 1716 10
1277 695 10
452 503 9
1279 1475 1
469 1572 6
1319 774 1
491 706 1
797 1474 4
1297 1716 6
725 1087 6
325 364 9
1574 1209 9
705 1306 8
1983 1298 4
1183 1441 3
1879 138 3
1021 1493 8
40 1833 4
1444 345 9
750 1082 2
515 1477 4
713 1330 1
1044 1250 9
55 97 6
761 1303 7
142 250 9
547 65 7
1475 1108 2
1060 102 10
1151 182 6
1397 266 7
330 1663 5
1113 703 8
1072 312 5
1800 494 7
35 661 7
1811 1028 3
1963 1647 2
1106 1270 5
354 1196 6
133 1205 3
860 158 6
1564 1342 4
785 1203 8
290 937 2
1757 1137 9
653 275 8
530 759 3
1419 1635 1
1267 1613 6
1787 1919 5
1780 1942 7
1384 1059 2
1801 823 2
863 1989 9
388 99 1
1257 1594 5
1773 807 4
1432 105 8
1575 1211 4
975 1762 5
200 349 8
1779 1506 10
1509 646 2
1510 1166 3
578 1891 2
1752 1250 3
1960 1857 2
981 462 7
805 165 6
1735 1349 4
694 1067 4
40 262 4
480 622 3
1748 569 8
347 1118 5
1181 1472 5
208 1509 1
896 1358 4
11 1151 8
1165 671 1
1610 1495 7
106 1614 6
391 1593 9
748 1030 9
1756 1781 8
661 1455 6
622 182 5
1204 217 8
1493 1984 7
1002 1782 5
1478 78 4
1359 882 10
130 564 4
1713 958 6
858 1461 3
1891 998 1
907 946 1
1611 682 8
1863 576 1
1826 1194 8
1854 722 9
1923 8 5
1170 1495 9
1345 1584 4
906 744 7
1798 1367 7
1421 400 8
1560 1095 7
991 1540 10
1664 1066 10
1162 1946 3
1675 66 7
708 1536 5
1208 1661 5
1743 1529 9
1864 88 10
617 949 3
1597 376 1
1963 850 5
1682 1516 4
767 1743 5
1602 354 9
775 1062 8
1724 174 8
245 1762 3
648 1512 10
689 915 7
809 2 3
692 1612 6
1227 110 9
1414 760 2
82 1759 1
1485 716 7
446 1333 10
1311 1705 3
1113 395 4
1746 1410 2
874 927 4
1261 3 9
1965 1509 7
1827 1672 9
100 799 8
535 1665 5
1870 1348 9
1882 256 3
1982 469 5
948 448 2
947 1839 2
