200 2330
94 191 8
167 28 6
54 48 9
1 190 2
199 19 4
189 198 6
138 56 2
199 61 10
12 140 10
127 158 2
105 192 7
176 191 5
142 88 10
172 142 4
135 160 7
26 80 9
177 146 8
50 40 5
46 164 7
154 195 7
108 91 5
75 34 9
76 10 7
149 109 10
29 122 10
30 43 1
65 93 5
174 80 2
84 72 9
169 61 8
152 152 5
48 18 6
39 70 2
22 156 6
198 190 4
182 111 3
11 21 6
58 64 5
16 37 4
189 155 2
133 40 6
57 7 3
0 148 6
127 94 7
90 37 5
94 148 2
161 119 7
14 53 4
63 119 10
96 177 9
79 170 8
88 15 2
12 141 10
125 28 10
0 141 10
125 189 10
68 116 3
171 19 6
168 134 9
190 34 5
82 10 2
54 165 1
165 110 2
101 141 9
190 195 4
68 111 9
43 5 2
53 158 3
145 132 3
6 99 10
57 97 8
59 71 1
133 157 9
32 100 2
12 177 8
92 62 5
177 19 1
19 16 1
48 65 10
3 190 3
12 18 8
194 152 7
6 25 9
175 95 5
182 199 6
123 123 1
64 66 5
95 78 7
148 0 2
34 41 9
74 162 1
100 18 9
123 33 3
137 15 6
199 144 4
101 26 7
115 55 4
60 44 4
108 23 9
45 67 7
160 151 2
29 73 2
153 116 9
106 17 3
136 143 1
27 97 10
108 19 2
13 74 6
22 174 8
167 74 10
130 33 5
116 128 5
19 57 3
79 92 3
6 116 3
135 172 9
92 34 10
15 198 1
99 3 3
36 77 10
126 189 10
34 48 9
155 133 6
59 136 6
35 183 2
57 151 4
88 29 5
38 34 7
132 65 6
167 136 7
190 119 10
60 2 6
95 146 10
74 28 7
176 67 9
27 89 3
69 17 10
5 177 5
50 39 4
11 11 3
171 108 8
106 130 6
144 147 3
0 192 6
106 105 10
58 9 10
71 175 9
179 170 3
158 67 5
48 114 3
71 98 10
152 170 1
16 117 1
184 127 7
93 190 9
161 93 8
169 35 10
105 52 8
15 191 8
172 125 4
116 188 8
132 61 5
127 38 4
188 70 3
173 198 7
22 113 3
1 48 4
88 143 8
106 85 6
102 35 1
32 177 1
84 77 1
139 106 7
9 87 7
56 11 10
185 98 2
129 136 3
153 175 1
78 108 2
71 159 7
69 6 7
111 110 8
20 94 1
72 117 7
1 56 1
150 18 1
160 115 9
192 172 9
37 100 1
121 10 10
136 155 9
89 88 7
110 123 10
173 194 5
173 161 5
77 196 5
65 141 10
9 34 10
75 93 7
182 195 5
110 86 8
125 67 5
158 162 2
76 153 1
186 96 8
11 73 10
121 29 9
127 108 3
69 162 10
29 72 4
164 95 3
4 5 5
79 65 9
80 138 2
167 110 2
76 188 1
132 110 9
33 112 7
76 160 2
3 99 6
175 72 9
111 95 9
130 9 2
173 129 2
119 122 10
96 85 2
184 6 9
143 27 10
19 46 2
128 20 6
70 106 2
189 166 6
116 131 10
62 38 4
83 129 8
182 8 4
131 45 2
169 82 2
74 138 8
88 96 5
72 83 4
42 183 6
62 49 1
193 132 10
54 198 4
49 110 3
162 74 4
148 8 10
8 110 4
71 143 8
178 96 7
21 10 6
49 132 6
185 168 5
34 146 7
70 94 5
127 76 6
124 86 6
46 4 6
116 99 8
117 195 3
104 13 1
27 176 7
129 103 9
2 23 6
1 98 2
60 20 10
146 136 6
140 130 8
188 23 10
74 106 4
175 194 5
136 97 9
155 35 2
155 140 6
119 55 8
50 6 3
73 63 8
104 158 8
36 174 3
72 90 7
126 100 8
14 148 10
152 120 8
132 150 7
44 164 8
64 117 5
31 103 7
58 164 1
122 55 5
179 87 6
127 113 4
23 72 1
32 47 8
82 133 3
180 36 2
83 148 9
12 22 7
171 102 6
32 42 4
40 44 7
188 191 2
146 175 3
131 158 10
84 42 7
189 26 9
158 193 4
42 174 1
105 196 7
57 143 3
5 55 7
