1000 8961
159 702 5
264 726 5
47 628 5
942 55 7
911 677 4
856 753 6
851 151 9
211 631 6
168 689 1
779 593 10
902 566 4
953 250 7
586 369 3
981 121 7
833 487 7
678 313 4
324 379 8
255 327 2
225 235 8
741 701 4
315 748 10
52 639 9
144 577 4
150 315 4
475 410 4
194 750 8
819 524 2
128 113 1
747 289 3
85 2 7
957 855 1
988 457 9
430 644 6
968 553 2
989 471 2
765 277 9
895 22 6
996 504 2
827 153 9
911 348 1
860 248 10
85 213 10
593 140 5
349 877 8
464 389 4
427 463 6
256 961 6
750 538 5
986 964 1
166 836 7
200 58 4
154 767 2
577 829 3
29 275 3
429 121 6
552 691 4
37 759 10
487 732 1
870 442 10
67 654 8
462 449 3
947 182 5
48 738 5
526 92 9
528 750 5
380 143 5
35 593 9
549 729 8
825 477 5
296 129 3
955 981 8
870 854 1
610 585 8
43 547 5
866 88 5
927 3 10
805 62 6
607 573 6
156 972 3
608 77 9
447 485 6
590 577 4
652 598 4
475 970 3
470 378 4
114 463 1
334 152 6
683 644 2
148 818 9
292 752 5
660 498 4
746 67 7
725 73 5
75 997 8
668 827 4
606 245 10
37 405 8
815 585 9
462 754 3
78 188 8
645 37 10
243 956 2
353 227 10
849 981 4
188 738 8
474 994 1
879 244 4
131 485 7
385 588 4
750 896 4
436 115 3
954 927 8
400 326 7
980 13 1
569 935 2
1 481 1
796 873 5
858 374 6
613 108 9
216 620 4
624 329 2
740 700 4
435 94 7
143 820 9
85 234 3
642 960 2
68 805 8
333 264 1
470 415 7
761 397 8
832 560 4
133 419 6
898 699 8
146 631 5
240 725 3
961 523 6
945 683 4
536 522 7
863 240 5
369 105 5
898 476 8
702 37 3
658 10 9
13 314 7
819 914 2
345 776 7
692 844 8
121 116 9
298 545 8
913 418 2
727 125 3
905 236 6
547 200 1
727 136 2
407 40 2
198 695 7
866 579 4
473 138 2
992 370 5
585 183 1
363 151 9
369 255 3
914 307 6
341 88 8
111 956 4
336 484 3
187 938 5
657 963 5
89 190 9
933 112 3
462 423 4
87 258 4
249 804 8
891 858 6
313 67 8
919 172 8
960 782 8
578 366 3
100 907 9
424 842 1
812 584 2
165 846 9
952 677 5
440 707 2
317 548 4
604 901 2
558 162 8
81 828 3
273 248 6
650 57 4
73 877 6
447 827 9
397 996 5
866 209 10
358 715 5
768 165 8
916 943 5
166 387 1
394 940 2
139 862 3
284 354 3
449 819 3
419 713 7
29 632 1
350 741 2
646 521 8
992 231 5
517 657 2
272 113 3
673 586 5
141 876 10
571 462 5
724 376 2
298 86 4
299 39 1
239 310 3
651 172 2
248 579 3
784 2 6
434 58 3
16 207 10
904 291 8
364 668 6
795 322 8
42 528 6
581 578 9
842 933 8
508 678 7
372 138 9
398 747 9
314 416 7
163 708 1
711 54 4
811 804 4
10 750 3
278 112 7
502 404 6
40 490 7
844 180 6
386 119 4
987 371 3
375 17 7
5 178 4
150 657 1
547 383 4
452 514 9
808 102 5
750 669 10
996 594 3
315 818 2
678 889 5
537 541 1
837 110 1
893 943 9
641 264 2
533 508 7
775 978 10
124 533 5
760 725 5
377 620 6
946 883 3
682 114 4
548 367 9
755 619 5
402 950 6
457 933 9
611 664 2
548 648 7
835 956 10
967 686 4
877 742 10
481 570 6
545 541 8
176 185 7
821 405 3
220 569 3
564 239 4
193 380 9
569 219 10
379 424 8
19 609 6
714 530 7
372 524 1
767 906 7
400 516 10
444 888 8
491 399 1
55 221 4
756 858 9
844 664 4
438 24 6
78 868 9
20 633 8
567 731 7
241 112 5
507 544 6
324 393 4
863 604 4
972 379 1
431 840 7
433 213 3
629 521 3
438 648 5
181 960 9
780 400 5
463 421 5
688 806 4
693 615 4
453 664 7
76 155 1
721 245 8
618 781 4
693 975 9
270 981 9
853 508 9
614 308 1
809 223 10
311 501 9
298 905 5
634 693 2
651 982 6
367 186 5
453 294 9
290 311 4
738 19 5
814 103 1
538 74 8
992 178 2
932 168 5
637 680 3
946 158 8
584 794 9
130 913 3
442 510 9
705 722 7
173 25 9
820 971 6
796 419 9
784 718 6
11 765 6
238 145 5
140 97 10
584 910 6
76 627 7
90 908 9
605 896 1
191 752 9
646 387 9
15 673 5
37 822 1
799 528 3
677 6 10
282 655 3
260 204 9
348 902 1
982 229 9
860 849 4
45 469 4
165 590 10
156 67 10
915 81 1
724 985 5
591 561 9
415 844 8
228 199 1
846 58 3
742 699 10
50 655 10
953 144 10
679 694 4
827 377 9
879 506 6
520 197 10
62 923 1
497 396 3
210 808 5
520 357 4
964 769 8
113 639 7
284 249 8
958 468 4
81 762 6
889 15 9
403 510 5
891 172 6
171 513 6
33 597 6
153 499 2
69 805 7
740 748 9
775 833 9
586 198 2
242 159 2
234 749 5
779 951 7
881 158 3
770 919 2
963 531 6
931 208 1
163 990 10
720 875 3
349 362 3
551 276 3
719 283 7
306 648 8
948 214 3
456 598 10
213 403 3
688 99 7
483 134 4
941 256 9
118 438 2
129 254 7
656 551 10
342 655 1
460 129 3
877 437 6
939 390 6
540 321 7
235 825 6
558 128 10
463 83 2
457 341 1
951 373 10
952 963 7
939 482 9
981 539 8
551 984 7
468 508 2
138 924 6
769 894 3
593 677 4
935 484 5
617 621 7
735 214 8
879 580 1
377 217 1
153 927 6
593 290 2
722 909 7
955 674 3
797 256 5
578 893 10
174 906 1
936 732 3
853 56 5
403 871 3
61 962 3
400 924 10
171 630 9
583 231 3
496 787 4
137 117 10
956 43 4
409 839 6
714 720 5
255 276 7
507 351 2
308 960 8
246 276 7
917 513 8
690 259 8
419 695 4
316 93 8
981 928 7
482 679 3
683 335 1
23 213 7
173 104 3
709 886 8
382 72 5
522 870 10
579 523 8
225 143 6
385 831 2
579 188 1
786 494 7
887 653 9
576 455 5
280 639 10
357 219 2
891 160 7
921 88 3
641 753 5
988 493 3
661 134 8
135 47 4
509 909 1
493 98 4
497 494 1
288 274 8
422 127 6
396 371 6
730 444 1
868 687 1
688 663 6
104 728 2
914 14 8
895 871 2
622 782 1
769 666 2
428 87 9
325 550 7
918 205 10
287 402 1
311 996 7
807 797 2
326 397 5
663 743 2
580 354 5
748 489 9
860 741 9
67 348 9
917 500 3
321 478 2
674 465 3
508 300 1
894 334 10
116 318 4
110 27 1
731 580 4
3 394 1
5 509 2
615 305 5
221 748 2
177 393 4
529 338 7
842 863 10
628 789 6
15 648 8
676 921 9
68 523 8
870 97 4
3 5 3
510 168 2
776 705 9
636 586 4
120 914 2
455 472 10
626 96 8
293 383 2
352 858 4
982 558 8
573 501 4
212 91 6
654 674 5
830 498 10
905 207 10
232 479 6
591 178 10
211 639 9
411 355 5
105 156 7
484 91 1
363 864 6
941 993 1
635 476 1
617 184 1
328 709 5
778 354 4
750 49 9
79 236 2
998 698 2
442 100 3
428 547 2
529 445 10
219 790 2
879 907 7
608 702 3
674 784 4
596 239 7
237 798 8
221 855 4
641 299 6
262 863 9
765 165 2
722 100 4
541 16 7
460 901 2
610 241 3
14 953 9
809 189 7
609 154 4
688 883 2
544 792 6
234 738 6
776 758 9
538 177 2
25 152 7
934 785 2
162 258 4
228 334 10
245 683 10
831 404 6
303 111 7
248 409 2
559 817 1
329 419 3
112 526 4
429 72 1
380 761 2
201 500 6
163 530 9
788 493 9
435 144 7
415 543 10
431 852 6
581 41 5
538 11 3
197 697 10
722 614 4
243 319 1
507 355 6
48 913 3
465 242 1
627 924 1
121 870 8
350 657 4
575 916 10
259 309 1
829 966 9
178 614 7
449 333 3
361 353 2
420 868 6
725 611 6
848 433 3
457 184 9
